Time  	KZ11W:	KZ11C:	SD13L:
10:59:41 75.6	16.4	9071	

10:59:42 75.6	16.4	9068	

10:59:44 75.6	16.4	9065	

10:59:45 75.6	16.4	9062	

10:59:46 75.5	16.4	9059	

10:59:47 75.5	16.4	9056	

10:59:48 75.4	16.4	9054	

10:59:49 75.4	16.4	9051	

10:59:50 75.4	16.4	9050	

10:59:51 75.4	16.4	9048	

10:59:52 75.3	16.4	9048	

10:59:54 75.2	16.4	9045	

10:59:55 75.2	16.4	9044	

10:59:56 75.2	16.3	9043	

10:59:57 75.1	16.3	9042	

10:59:58 75.0	16.3	9041	

10:59:59 75.0	16.3	9040	

11:00:00 74.9	16.3	9041	

11:00:01 74.9	16.3	9041	

11:00:02 74.9	16.3	9041	

11:00:03 74.9	16.3	9042	

11:00:05 74.9	16.3	9043	

11:00:06 74.9	16.3	9045	

11:00:07 74.9	16.3	9045	

11:00:08 75.0	16.3	9049	

11:00:09 75.2	16.3	9051	

11:00:10 75.3	16.3	9054	

11:00:11 75.5	16.3	9057	

11:00:12 75.5	16.2	9061	

11:00:13 75.6	16.2	9065	

11:00:14 75.7	16.2	9070	

11:00:16 75.7	16.2	9074	

11:00:17 75.8	16.2	9079	

11:00:18 75.9	16.2	9084	

11:00:19 76.1	16.2	9093	

11:00:20 76.1	16.2	9097	

11:00:21 76.1	16.2	9103	

11:00:22 76.1	16.2	9110	

11:00:23 76.1	16.2	9118	

11:00:24 76.1	16.2	9127	

11:00:25 76.2	16.2	9134	

11:00:27 76.2	16.2	9146	

11:00:28 76.3	16.2	9154	

11:00:29 76.3	16.2	9165	

11:00:30 76.3	16.1	9173	

11:00:31 76.4	16.1	9181	

11:00:32 76.6	16.1	9196	

11:00:33 76.7	16.1	9205	

11:00:34 77.0	16.1	9221	

11:00:35 77.1	16.1	9231	

11:00:36 77.3	16.1	9247	

11:00:38 77.5	16.1	9258	

11:00:39 78.0	16.1	9275	

11:00:40 78.0	16.1	9288	

11:00:41 78.2	16.1	9305	

11:00:42 78.4	16.1	9317	

11:00:43 78.6	16.1	9338	

11:00:44 78.8	16.1	9351	

11:00:45 79.0	16.1	9371	

11:00:46 79.1	16	9385	

11:00:48 79.3	16	9407	

11:00:49 79.4	16	9422	

11:00:50 79.6	16	9437	

11:00:51 79.8	16	9460	

11:00:52 79.9	16	9476	

11:00:53 80.1	16	9499	

11:00:54 80.3	16	9515	

11:00:55 80.8	16	9540	

11:00:56 80.8	16	9556	

11:00:57 81.0	16	9583	

11:00:59 81.2	16	9601	

11:01:00 81.4	16	9627	

11:01:01 81.6	16	9645	

11:01:02 81.7	16	9673	

11:01:03 81.8	16	9690	

11:01:04 81.9	16	9709	

11:01:05 82.0	15.9	9737	

11:01:06 82.2	15.9	9755	

11:01:07 82.4	15.9	9784	

11:01:09 82.7	15.9	9803	

11:01:10 82.9	15.9	9833	

11:01:11 83.1	15.9	9852	

11:01:12 83.6	15.9	9882	

11:01:13 83.9	15.9	9902	

11:01:14 83.9	15.9	9933	

11:01:15 84.4	15.9	9953	

11:01:16 84.7	15.9	9974	

11:01:17 84.9	15.9	10005	

11:01:18 85.2	15.9	10025	

11:01:19 85.5	15.9	10056	

11:01:21 85.8	15.9	10076	

11:01:22 86.0	15.9	10109	

11:01:23 86.3	15.9	10128	

11:01:24 86.6	15.9	10162	

11:01:25 86.6	15.8	10182	

11:01:26 86.8	15.8	10203	

11:01:27 87.1	15.8	10236	

11:01:28 87.3	15.8	10256	

11:01:29 87.5	15.8	10287	

11:01:30 87.9	15.8	10309	

11:01:32 88.0	15.8	10342	

11:01:33 88.1	15.8	10363	

11:01:34 88.3	15.8	10395	

11:01:35 88.7	15.8	10417	

11:01:36 89.0	15.8	10439	

11:01:37 89.2	15.8	10471	

11:01:38 89.5	15.8	10493	

11:01:39 90.0	15.8	10525	

11:01:40 89.9	15.8	10548	

11:01:41 90.3	15.8	10581	

11:01:43 90.5	15.7	10602	

11:01:44 90.6	15.8	10634	

11:01:45 91.0	15.7	10656	

11:01:46 91.1	15.7	10688	

11:01:47 91.5	15.7	10710	

11:01:48 91.8	15.7	10734	

11:01:49 91.8	15.7	10766	

11:01:50 92.3	15.7	10788	

11:01:51 92.5	15.7	10821	

11:01:52 92.8	15.7	10844	

11:01:54 93.1	15.7	10877	

11:01:55 93.6	15.7	10897	

11:01:56 93.9	15.7	10931	

11:01:57 94.0	15.7	10954	

11:01:58 94.1	15.7	10975	

11:01:59 94.6	15.7	11009	

11:02:00 95.1	15.7	11030	

11:02:01 95.4	15.7	11064	

11:02:02 95.3	15.7	11086	

11:02:03 95.6	15.7	11119	

11:02:05 95.8	15.7	11142	

11:02:06 96.2	15.7	11175	

11:02:07 96.3	15.7	11197	

11:02:08 96.7	15.7	11230	

11:02:09 97.0	15.7	11252	

11:02:10 97.0	15.7	11274	

11:02:11 97.2	15.7	11307	

11:02:12 97.6	15.6	11328	

11:02:13 97.9	15.6	11361	

11:02:14 98.2	15.6	11383	

11:02:15 98.5	15.6	11416	

11:02:17 98.8	15.6	11438	

11:02:18 99.3	15.6	11470	

11:02:19 99.8	15.6	11493	

11:02:20 99.8	15.6	11526	

11:02:21 100.0	15.6	11547	

11:02:22 100.3	15.6	11568	

11:02:23 100.5	15.6	11601	

11:02:24 101.0	15.6	11624	

11:02:25 101.4	15.6	11656	

11:02:27 101.6	15.6	11678	

11:02:28 101.8	15.6	11709	

11:02:29 102.1	15.6	11732	

11:02:30 102.1	15.6	11763	

11:02:31 102.5	15.6	11782	

11:02:32 102.5	15.6	11811	

11:02:33 102.8	15.6	11830	

11:02:34 103.2	15.6	11857	

11:02:35 103.4	15.5	11878	

11:02:36 103.4	15.6	11895	

11:02:38 103.6	15.5	11921	

11:02:39 103.8	15.5	11937	

11:02:40 104.0	15.5	11963	

11:02:41 104.2	15.5	11978	

11:02:42 104.4	15.5	12003	

11:02:43 104.6	15.5	12019	

11:02:44 104.7	15.5	12035	

11:02:45 104.9	15.5	12061	

11:02:46 105.0	15.5	12076	

11:02:47 105.3	15.5	12099	

11:02:48 105.8	15.5	12115	

11:02:50 105.8	15.5	12137	

11:02:51 106.0	15.5	12153	

11:02:52 106.2	15.5	12175	

11:02:53 106.5	15.5	12190	

11:02:54 106.6	15.5	12212	

11:02:55 106.8	15.5	12226	

11:02:56 107.0	15.5	12240	

11:02:57 107.2	15.5	12263	

11:02:58 107.5	15.5	12276	

11:02:59 107.7	15.5	12295	

11:03:01 108.1	15.5	12308	

11:03:02 108.3	15.5	12326	

11:03:03 108.4	15.5	12338	

11:03:04 108.5	15.4	12354	

11:03:05 108.7	15.4	12364	

11:03:06 108.9	15.4	12380	

11:03:07 109.0	15.4	12391	

11:03:08 109.1	15.4	12400	

11:03:09 109.2	15.4	12412	

11:03:10 109.3	15.4	12420	

11:03:12 109.4	15.4	12434	

11:03:13 109.4	15.4	12442	

11:03:14 109.5	15.4	12453	

11:03:15 109.6	15.4	12460	

11:03:16 109.7	15.4	12468	

11:03:17 109.8	15.4	12475	

11:03:18 109.9	15.4	12484	

11:03:19 110.0	15.4	12489	

11:03:20 110.1	15.4	12494	

11:03:21 110.1	15.4	12501	

